,Location,Month,OriginalTweet,Country,Cleaned_Tweet,TweetAt
24531,"Deutschland, EU ",Mar,"#USA #Hanover #Coronavirus

A supermarket in Hanover Township (Pennsylvania) said it had to throw away products worth around US $ 35,000 because a customer had coughed for fresh goods on display. https://t.co/EFI3VBhdk6",Deutschland,usa hanover coronavirusa supermarket in hanover township pennsylvania said it had to throw away products worth around us    because a customer had coughed for fresh goods on display ,2020-03-26
9501,"St James' Park, Newcastle ",Mar,Morning The Charity Checkout donation link is below Please keep donating to ensure a supply of food for those relying on Britain s busiest FoodBank in the next few months during the crisis  when demand will increase Thanks  ,United Kingdom,morning the charity checkout donation link is below please keep donating to ensure a supply of food for those relying on britain s busiest foodbank in the next few months during the crisis  when demand will increase thanks  ,2020-03-20
21736,,Mar,"As Americans stock pantry staples and prepare to stay indoors during the COVID-19, or coronavirus, pandemic, supermarket and grocery store chains have reduced their normal operating hours. https://t.co/YeHCtTEcTq",Italia,as americans stock pantry staples and prepare to stay indoors during the   or coronavirus pandemic supermarket and grocery store chains have reduced their normal operating hours ,2020-03-25
23468,"Lynchburg, VA",Mar,"DISTURBING: A Pennsylvania grocery store lost over $35,000 after a woman intentionally coughed on food in the bakery, meat, grocery cases and fresh produce. 

The woman is being tested for the #coronavirus just in case.

READ MORE: https://t.co/BibGpqEA9g https://t.co/HdsdNaGvnS",United States,disturbing a pennsylvania grocery store lost over   after a woman intentionally coughed on food in the bakery meat grocery cases and fresh produce the woman is being tested for the coronavirus just in caseread more  ,2020-03-26
7918,SC,Mar,If I could self-quarantine I would. But people like me who work in grocery stores still have to work. I can't afford not to. Please be nice to us and be patient when the lines get long or if we can't help right away. #coronavirus #Quarantine #COVID19 #Retail,United States,if i could selfquarantine i would but people like me who work in grocery stores still have to work i cant afford not to please be nice to us and be patient when the lines get long or if we cant help right away coronavirus quarantine   retail,2020-03-19
6568,United States,Mar,In a consumer economy #coronavirus layoffs are rapidly leading the U.S. into the next big #recession  https://t.co/8jdwlY5gIH,United States,in a consumer economy coronavirus layoffs are rapidly leading the us into the next big recession  ,2020-03-19
12439,Global,Mar,Covid 19 It s difficult for all much harder for some life or death for many I ve always been a believer in small acts of kindness Many elderly vulnerable can t use online shopping I tried to order for someone today a stranger to me but in need amp encountered the result 1 3,Canada,covid   it s difficult for all much harder for some life or death for many i ve always been a believer in small acts of kindness many elderly vulnerable can t use online shopping i tried to order for someone today a stranger to me but in need amp encountered the result    ,2020-03-21
20189,"Cleveland, OH United States",Mar,These TP taunts are getting sooo annoying Especially while you re trying to wipe  ,United States,these tp taunts are getting sooo annoying especially while you re trying to wipe  ,2020-03-24
20739,Roma,Mar,#Grocery #Shopping during a pandemic: U-M sustainability expert discusses - https://t.co/NdRRcg7Rsi #Coronavirus #Covid19 #Covidagenparl #Iorestoacasa #Online #Stores #System #UniversityOfMichigan,Italia,grocery shopping during a pandemic um sustainability expert discusses   coronavirus   covidagenparl iorestoacasa online stores system universityofmichigan,2020-03-25
8237,"Fort Lauderdale & Miami,FL USA",Mar,"After the #coronavirus.... #Caricature Entertainment in Southeast #Florida including #Miami #FortLauderdale #WestPalmBeach by #DelrayBeachCaricatureArtist Jeff Sterling. #GiftCaricatures available from your photo! Info and prices call Jeff: 561-501-8528
https://t.co/mhbd0oKG5h https://t.co/rWQfYj7PJZ",United States,after the coronavirus caricature entertainment in southeast florida including miami fortlauderdale westpalmbeach by delraybeachcaricatureartist jeff sterling giftcaricatures available from your photo info and prices call jeff   ,2020-03-19
8777,"Teesdale Park, Thornaby, UK",Mar,Tearful care nurse left unable to buy food after 48h shift issues heartbreaking appeal https://t.co/BoOxc3dIdZ @Daily_Express https://t.co/FGaFZjhroh,United Kingdom,tearful care nurse left unable to buy food after   shift issues heartbreaking appeal  dailyexpress ,2020-03-20
22184,,Mar,in Lockdown leaving my house to go to the grocery store    ,Italia,in lockdown leaving my house to go to the grocery store    ,2020-03-25
18623,Global,Mar,We recently engaged with our Toluna community members around the globe to understand how they feel about the Coronavirus.  See the video that was provided to our community to share insights with our survey respondents: https://t.co/i1dYXoV9Nw #tolunainfluencers #insights,Canada,we recently engaged with our toluna community members around the globe to understand how they feel about the coronavirus  see the video that was provided to our community to share insights with our survey respondents  tolunainfluencers insights,2020-03-23
17671,"Lansing, Michigan",Mar,"The Consumer Energy Education Foundation is supporting 2 statewide organizations with a $500,000 contribution to help enhance critical services for Michigan children, vulnerable seniors &amp; those who may need assistance in the wake of the COVID-19 pandemic. https://t.co/pbs57DIJgT",United States,the consumer energy education foundation is supporting   statewide organizations with a   contribution to help enhance critical services for michigan children vulnerable seniors amp those who may need assistance in the wake of the   pandemic ,2020-03-23
27362,United States,Mar,@nosklz1 @juangoyeneche @CNBCPolitics Not according to Cuban. THE RESELLERS JACKING PRICES WORK FOR #3M. https://t.co/UbFvtIozll #3M should fire or revoke their contracts if 3M isn't #profiteering off #coronavirus. WHY THE HELL AREN'T THEY?,United States,  juangoyeneche cnbcpolitics not according to cuban the resellers jacking prices work for      should fire or revoke their contracts if   isnt profiteering off coronavirus why the hell arent they,2020-03-04
5158,"Manchester, England",Mar,"@DorsetGirl1 @PaddySitsDown @Dis_PPL_Protest @johnpringdns @DisabilityLab If I did get, I'm very likely to get pneumonia also. I have a crap immune system, a heart condition and loads of other stuff. No idea how to prove to a supermarket that I'm vulnerab",United Kingdom,  paddysitsdown dispplprotest johnpringdns disabilitylab if i did get im very likely to get pneumonia also i have a crap immune system a heart condition and loads of other stuff no idea how to prove to a supermarket that im vulnerab,2020-03-18
16289,United States,Mar,".@BernieSanders ""Let me just give you a few examples so you'll understand how vulgar some of what is going on is""

The airline industry: $50 bil
The private space industry: $5 bil
The candy industry: $500 mil
The hotel industry: $150 bil
The natnl assoc of manufacturing $1.4 tril https://t.co/MDaa7w7qXo",United States,berniesanders let me just give you a few examples so youll understand how vulgar some of what is going on isthe airline industry   bilthe private space industry   bilthe candy industry   milthe hotel industry   bilthe natnl assoc of manufacturing   tril ,2020-03-22
19936,United States,Mar,"#AliveCor received FDA approval for an expanded use of their KardiaMobile 6L device, six-lead consumer #ECG, to look for dangerously prolonged heartbeats caused by #coronavirus medications.

https://t.co/7CyGq42h3h",United States,alivecor received fda approval for an expanded use of their kardiamobile   device sixlead consumer ecg to look for dangerously prolonged heartbeats caused by coronavirus medications,2020-03-24
10325,Yo Momma's House,Mar,"File this one under...ARE YOU [BLEEPIN'] KIDDING ME?!!!! #WTF #TeensCoughingOnGroceryStoreProduce #GenZ #Purcellville #COVID19 #coronavirus 

https://t.co/430XVr5W5d",United States,file this one underare you bleepin kidding me wtf teenscoughingongrocerystoreproduce genz purcellville   coronavirus ,2020-03-20
21551,Hebei,Mar,"To helo our dear customer to get over coronavirus disease (COVID-19), we supply mask at cost prices now:
3 ply disposable face mask with CE certification: USD0.23/PC EXW China 
KN95 mask with CE certification: USD1.15/PC EXW
If you need help, pls don't hesitate to let us know. https://t.co/M8lRsbIFqh",中国,to helo our dear customer to get over coronavirus disease   we supply mask at cost prices   ply disposable face mask with ce certification   exw china   mask with ce certification   exwif you need help pls dont hesitate to let us know ,2020-03-25
15027,,Mar,How people used toilet paper before coronavirus ? #toiletpaper #coronavirus #COVIDIOT #StayHome #COVID?19 https://t.co/2NUrv9HWyd,Italia,how people used toilet paper before coronavirus  toiletpaper coronavirus covidiot stayhome   ,2020-03-22
16444,Albion MI,Mar,#coronavirus #toiletpaper @ Albion College https://t.co/KfIsvzRGJe,United States,coronavirus toiletpaper  albion college ,2020-03-22
12633,"Not Investment Advice, DYOR.",Mar,"I get the whole ""support local businesses via ordering food online"", however you're putting yourself at risk just by ordering outside food.",,i get the whole support local businesses via ordering food online however youre putting yourself at risk just by ordering outside food,2020-03-21
16227,Belgium,Mar,NICE AND WARM Increases durability finishes slower virus free Treasure it cause you bought it at a high price,België / Belgique / Belgien,nice and warm increases durability finishes slower virus free treasure it cause you bought it at a high price,2020-03-22
7832,Behind You,Mar,"My daughter works for @sobeys and had this happen tonight. A plea from a father who has a family member on the front line of things because she wants to help. To the shopping public....do better, be better period. #COVID19ON #sobeys https://t.co/im0PNmtrKg",New Zealand / Aotearoa,my daughter works for sobeys and had this happen tonight a plea from a father who has a family member on the front line of things because she wants to help to the shopping publicdo better be better period   sobeys ,2020-03-19
15907,Ireland,Mar,SVP has 10 hostels around Ireland providing beds and vital services for many of the most vulnerable in our society If anyone can help us with hand sanitizer or any PPE we would really appreciate it 19,Éire / Ireland,svp has   hostels around ireland providing beds and vital services for many of the most vulnerable in our society if anyone can help us with hand sanitizer or any ppe we would really appreciate it  ,2020-03-22
24284,United Kingdom,Mar,"With all these monumental disruptions to daily life, people are increasingly turning to online shopping. Accompanying this uptick in online activity is an increase in cyber fraud. Find out more -&gt; https://t.co/E8wvGMpFVB #fintech #coronavirus #onlineshopping #payments #fraud",United Kingdom,with all these monumental disruptions to daily life people are increasingly turning to online shopping accompanying this uptick in online activity is an increase in cyber fraud find out more gt  fintech coronavirus onlineshopping payments fraud,2020-03-26
27636,"NSW, QLD, VIC",Mar,"Manufacturers switching to produce product that are in short supply due to the COVID-19 pandemic face a number of unique issues regarding their obligations under Australian Consumer Law. #covid19 #coronavirus #mkinsights
https://t.co/I0uGwrnj1v",Australia,manufacturers switching to produce product that are in short supply due to the   pandemic face a number of unique issues regarding their obligations under australian consumer law   coronavirus mkinsights,2020-03-04
18122,"City of Angels, CA",Mar,"Imagine if all the undocumented people @realDonaldTrump and his followers hate so much stopped working rn. Just got up and left. The retail jobs. The fast food jobs. The fields. Empty. All of them. 

You think you know panic?

#Trump #coronavirus #COVID19",United States,imagine if all the undocumented people realdonaldtrump and his followers hate so much stopped working rn just got up and left the retail jobs the fast food jobs the fields empty all of them you think you know panictrump coronavirus  ,2020-03-23
18613,"Helsinki, Finland",Mar,"Compared to many other countries, the sale of @corona in #Finland has not gone down; on the contrary, reports from supermarket chains show that the sale has doubled here during the #COVID2019 -crisis.

https://t.co/jDv7hZfj63

#coronabeer https://t.co/3V1YvHhFBJ",Suomi / Finland,compared to many other countries the sale of corona in finland has not gone down on the contrary reports from supermarket chains show that the sale has doubled here during the   crisiscoronabeer ,2020-03-23
13035,Scotland,Mar,To every person bulk buying food cupboard staples to sell on eBay at ridiculous prices I really hope Karma is a Thing Charging  15 for a kilo of flour is the most Thatcher s Children bullshit I have ever seen We are all in this together is a fantasy 19,United Kingdom,to every person bulk buying food cupboard staples to sell on ebay at ridiculous prices i really hope karma is a thing charging    for a kilo of flour is the most thatcher s children bullshit i have ever seen we are all in this together is a fantasy  ,2020-03-21
10029,Dubai,Mar,"food/cleaning products cleared out of uk supermarkets re-sold at inflated prices, supermarkets and ebay need to end all listings for items or will continue @AskeBay @AsdaServiceTeam @tesco @thesun @MailOnline @GaryLineker @piersmorgan @gmb 
#coronavirus #asda #tesco #NHS #Boris https://t.co/Ctc36Ic0Xf",الإمارات العربية المتحدة,foodcleaning products cleared out of uk supermarkets resold at inflated prices supermarkets and ebay need to end all listings for items or will continue askebay asdaserviceteam tesco thesun mailonline garylineker piersmorgan gmb coronavirus asda tesco nhs boris ,2020-03-20
8,"Atlanta, GA USA",Mar,"Due to COVID-19 our retail store and classroom in Atlanta will not be open for walk-in business or classes for the next two weeks, beginning Monday, March 16.  We will continue to process online and phone orders as normal! Thank you for your understanding! https://t.co/kw91zJ5O5i",United States,due to   our retail store and classroom in atlanta will not be open for walkin business or classes for the next two weeks beginning monday march    we will continue to process online and phone orders as normal thank you for your understanding ,2020-03-16
27415,"Winnipeg, MB",Mar,"Fascinating - The #Social_Distancing of America. 

Side story of great interest is California Consumer Privacy Act = no data for public consumption from there.

#data #SocialDistancingNow #privacy #coronavirus #Tracking  https://t.co/8IzH6WXwDm",Canada,fascinating  the socialdistancing of america side story of great interest is california consumer privacy act  no data for public consumption from theredata socialdistancingnow privacy coronavirus tracking  ,2020-03-04
4289,Thats me in the corner ,Mar,"Heads up: It's not ""cute"" to ""jokingly"" ask grocery store employees if they're ""staying busy, har de her harrr..."" as they frantically try to restock products w/out getting trampled by greedy assholes in the process. Not even a little funny. Fuckers.
#Coronavirus #COVID19 #Retail",,heads up its not cute to jokingly ask grocery store employees if theyre staying busy har de her harrr as they frantically try to restock products wout getting trampled by greedy assholes in the process not even a little funny fuckerscoronavirus   retail,2020-03-18
16499,world wide,Mar,"Covid-19: Oyedepo Criticised Government Over the Closure of Schools, Supermarket https://t.co/csfnOQGkqO https://t.co/0BPGEgMnSJ",中国,  oyedepo criticised government over the closure of schools supermarket  ,2020-03-22
9343,"Long Island, NY",Mar,#coronavirus #covid19 prices suck,United States,coronavirus   prices suck,2020-03-20
24259,,Mar,"@narendramodi @drharshvardhan @PiyushGoyal @AmitShah @Swamy39 @myogiadityanath Sir, the best solution for identifying the positive Covid-19 cases, is testing by people themselves at home, through the Kits made available online/pharmacies for sale at minim",Italia,narendramodi drharshvardhan piyushgoyal amitshah   myogiadityanath sir the best solution for identifying the positive   cases is testing by people themselves at home through the kits made available onlinepharmacies for sale at minim,2020-03-26
1524,Paraparaumu Beach,Mar,"Renee has arbitrarily decided that, due to me being more vulnerable to covid-19 than she is, that I'm not allowed to go and do things like going to the supermarket, picking up the kids etc. I suspect it's all a ploy to stop me getting a sneaky milky bar on the way home.",New Zealand / Aotearoa,renee has arbitrarily decided that due to me being more vulnerable to   than she is that im not allowed to go and do things like going to the supermarket picking up the kids etc i suspect its all a ploy to stop me getting a sneaky milky bar on the way home,2020-03-17
12813,SF BAY,Mar,I really see why ppl are flocking to cannabis clubs right now. We are in crazy times. I work at a grocery store! We need to hand out edibles or joints to our customers cuz they really have no chill! #CoronaVirus got ppl acting a fool,United States,i really see why ppl are flocking to cannabis clubs right now we are in crazy times i work at a grocery store we need to hand out edibles or joints to our customers cuz they really have no chill coronavirus got ppl acting a fool,2020-03-21
14936,,Mar,"@SarahKNeilans In his missive he claims that Loblaws will not raise price on any essential items, yet Shoppers Drug Mart is gouging the public for toilet paper and  sanitizer https://t.co/SH5A7QIMq8",Italia,sarahkneilans in his missive he claims that loblaws will not raise price on any essential items yet shoppers drug mart is gouging the public for toilet paper and  sanitizer ,2020-03-22
5475,The Blanketfort,Mar,Saw this at the grocery store today and honestly I have never wanted to punch a piece of paper more in my entire life. #COVID19 #coronavirus https://t.co/hukNd3zr1S,,saw this at the grocery store today and honestly i have never wanted to punch a piece of paper more in my entire life   coronavirus ,2020-03-19
1284,"Edinburgh, Scotland",Mar,"More gaps appear on the #HighStreet as Carphone Warehouse shut up shop. Changing consumer behaviour, not COVID-19 to blame! 
#cx #customerexperience #retail #retailapocalypse https://t.co/4D1SMdIojP",United Kingdom,more gaps appear on the highstreet as carphone warehouse shut up shop changing consumer behaviour not   to blame cx customerexperience retail retailapocalypse ,2020-03-17
18681,,Mar,"@shayken13 @corpsmarine99 @MarciaJ84682467 Yeah, so chant USA, Made in USA all you want - you'll pay for it tho. The diff in med prices outsourced and insourced is 10X. Wonder why a lady got a $40,000+ med bill for her COVID-19 treatment. How will the poo",Italia,      yeah so chant usa made in usa all you want  youll pay for it tho the diff in med prices outsourced and insourced is   wonder why a lady got a   med bill for her   treatment how will the poo,2020-03-23
19516,Pakistan,Mar,"Lower inflation projections will be helped by record-low oil prices ($25) &amp; drastic fall in domestic consumption due to COVID-19 led slowdown.

If projected inflation hovers around 8-9% range, then an aggressive RIR stance could allow #SBP room to bring DR ?? to 9% level easily.",پاکستان,lower inflation projections will be helped by recordlow oil prices   amp drastic fall in domestic consumption due to   led slowdownif projected inflation hovers around   range then an aggressive rir stance could allow sbp room to bring dr  to   level easily,2020-03-24
24161,"New York, NY",Mar,NEW 2PACK Clorox Laundry Sanitizer 42 fl oz 1.3 qt FREE SHIPPING https://t.co/z5dbM1kFe6 #coronavirus #covid_19 #covid19 https://t.co/cksiccNoQz,United States,new   clorox laundry sanitizer   fl oz   qt free shipping  coronavirus     ,2020-03-26
22473,Based in Sri Lanka,Mar,"A Keells supermarket in Kurana, Katunayake was robbed by a man last night. Armed with a sword, the man had broken a large glass panel &amp; entered into the supermarket where he had stolen items and left. https://t.co/7hYDsewI0b
#LKA #SriLanka #CoronaVirus #COVID #Covid_19 #Covid19",ශ්‍රී ලංකාව இலங்கை,a keells supermarket in kurana katunayake was robbed by a man last night armed with a sword the man had broken a large glass panel amp entered into the supermarket where he had stolen items and left lka srilanka coronavirus covid    ,2020-03-25
1095,??,Mar,Two grocery store later! We have everything that you can think of in our house now. We ready to stay in. Bring it on Corona! #coronavirus #stayhomechallenge #momlife #food #fattyforlife,,two grocery store later we have everything that you can think of in our house now we ready to stay in bring it on corona coronavirus stayhomechallenge momlife food fattyforlife,2020-03-17
3867,"Lahore, Pakistan",Mar,Panic buying in Pakistan yesterday and today grocery store full of ppl,پاکستان,panic buying in pakistan yesterday and today grocery store full of ppl,2020-03-18
10308,West Sussex and The World,Mar,"People: There wasn't much left in the supermarket so I had to buy all this weird stuff.
Me: That's the kind of stuff I eat every day! Make sure you leave some for me. ??
#CoronaCrisis #CoronaVirusUpdate #covid19UK #coronavirus",United Kingdom,people there wasnt much left in the supermarket so i had to buy all this weird stuffme thats the kind of stuff i eat every day make sure you leave some for me coronacrisis coronavirusupdate   coronavirus,2020-03-20
18006,"Vancouver, Canada",Mar,@HobbyLobby Heaping piles of SHAME on Hobby Lobby for prioritizing profit over both staff and clientele by not closing and reducing to online sales only during the deadliest pandemic in a century. I hope everyone who contracts COVID-19 after working or sh,Canada,hobbylobby heaping piles of shame on hobby lobby for prioritizing profit over both staff and clientele by not closing and reducing to online sales only during the deadliest pandemic in a century i hope everyone who contracts   after working or sh,2020-03-23
23447,,Mar,Man charged with terrorism after licking supermarket shelves to mock #coronavirus  https://t.co/HEAIvQuVsE,Italia,man charged with terrorism after licking supermarket shelves to mock coronavirus  ,2020-03-26
4255,"Portland, Oregon",Mar,"My office closed. No packages delivered. No affordable food soon at grocery store, or poultry except a few packages. 3 bags extra large basmati. No sales from flyers. #nofood at #foodpantries ? #coronavirus #supplies #staples Safeway delays and products unsure on my delivery.",United States,my office closed no packages delivered no affordable food soon at grocery store or poultry except a few packages   bags extra large basmati no sales from flyers nofood at foodpantries  coronavirus supplies staples safeway delays and products unsure on my delivery,2020-03-18
12150,"San Jose, California, USA",Mar,is the largest supermarket chain in the United States The workers there are doing an amazing job supporting our communities despite this awful health crisis The least Kroger can do is ensure its employees have paid sick leave,United States,is the largest supermarket chain in the united states the workers there are doing an amazing job supporting our communities despite this awful health crisis the least kroger can do is ensure its employees have paid sick leave,2020-03-21
1630,"Ontario, Canada",Mar,"@QueenAwakened I'm disabled and cannot work, my partner works to support us both but shit is tight. Also I'd like to be able to actually stock up on food incase his jobsite is shut down bc of COVID-19. https://t.co/r755dLCvou",Canada,queenawakened im disabled and cannot work my partner works to support us both but shit is tight also id like to be able to actually stock up on food incase his jobsite is shut down bc of   ,2020-03-17
23090,,Mar,"Worst disease of 21st. Century. COVID-19. Irresponsible behaviour by U.N. nd W.H.O. along with CHINA exporter of disease.  Ppl around the world should boycott CHINESE consumer nd industrial products
 U.N. should shut down their shop/office for irresponsible behaviour in total.",Italia,worst disease of   century   irresponsible behaviour by un nd who along with china exporter of disease  ppl around the world should boycott chinese consumer nd industrial products un should shut down their shopoffice for irresponsible behaviour in total,2020-03-25
486,,Mar,"Did you know if you lightly saute TP and then add everything but the bagel seasoning from Trader Joe's you can have enough food for a family of 4? STOCK UP PEOPLE! 

#coronapocolypse #Coronavid19 #ToiletPaperPanic #coronavirus #COVID?19",Italia,did you know if you lightly saute tp and then add everything but the bagel seasoning from trader joes you can have enough food for a family of   stock up people coronapocolypse   toiletpaperpanic coronavirus  ,2020-03-16
17094,"Denver, CO",Mar,Just in: Part of @MayorHancock's stay at home order will include closing Denver liquor stores and dispensaries. Everyone's reaction ? https://t.co/bZmC1XdXyV,Colombia,just in part of mayorhancocks stay at home order will include closing denver liquor stores and dispensaries everyones reaction  ,2020-03-23
3171,"Nairobi, Kenya.",Mar,"#Covid_19 What is the essence of @WHO giving Kenya 1billion dollars if Kenyans are buying sanitizers, and the little in the supermarkets are hoarded or prices increased?
@MigunaMiguna @MohaJichoPevu @ahmednasirlaw @citizentvkenya @StandardKenya",Kenya,  what is the essence of who giving kenya   dollars if kenyans are buying sanitizers and the little in the supermarkets are hoarded or prices increasedmigunamiguna mohajichopevu ahmednasirlaw citizentvkenya standardkenya,2020-03-18
15370,,Mar,"How is it @Conservatives @MattHancock that we are asked to remain home to limit the spread of COVID-19 but, at the same time, we are expected to visit a supermarket packed with potential carriers of the disease to buy food......",Italia,how is it conservatives matthancock that we are asked to remain home to limit the spread of   but at the same time we are expected to visit a supermarket packed with potential carriers of the disease to buy food,2020-03-22
18954,"Philadelphia, PA",Mar,Grocery store exec Please stop panic shopping Opinion,United States,grocery store exec please stop panic shopping opinion,2020-03-24
16506,"Kettering, UK",Mar,"Report people in Northamptonshire hiking prices during coronavirus crisis as they could be breaking the law #Northants #TradingStandards #CitizensAdvice #PriceHiking  #CoronaVirus #COVID19 #Health #BreakingTheLaw 

https://t.co/pKhGmm1LPu",United Kingdom,report people in northamptonshire hiking prices during coronavirus crisis as they could be breaking the law northants tradingstandards citizensadvice pricehiking  coronavirus   health breakingthelaw ,2020-03-22
6415,,Mar,You know shit is in full panic mode when even the #vegan section of the grocery store is empty. #COVID2019,Italia,you know shit is in full panic mode when even the vegan section of the grocery store is empty  ,2020-03-19
4195,"Draper, Utah",Mar,"Law Zebra, LLC gives consumers advice for COVID-19. When dealing with an emergency situation such as the one we are dealing with now, paying your bills might not be the best thing to do. Watch our latest video to learn more! https://t.co/bVtSFiP4h0 https://t.co/cdkWNcGnmn",United States,law zebra llc gives consumers advice for   when dealing with an emergency situation such as the one we are dealing with now paying your bills might not be the best thing to do watch our latest video to learn more  ,2020-03-18
23430,"Resistance2020 San Antonio, TX",Mar,@amyriscool @republiculos Thank you. I just saw the news that TX was added as part of the disaster states. People here are still going out. It is so frustrating. I read someone who went to the grocery store got Covid-19. My husband still goes. I told him ,,amyriscool republiculos thank you i just saw the news that tx was added as part of the disaster states people here are still going out it is so frustrating i read someone who went to the grocery store got   my husband still goes i told him ,2020-03-26
10358,"Lahore, Pakistan",Mar,Hand sanitizers are totally disappeared from Markets of #Lahore. Strict actions must be against those who are behind this artificial shortage. On the other-side @GovtPunjabPK ensure the availability in open market on controlled prices @DCLahore @GovtPunjabPK #CoronaVirus,پاکستان,hand sanitizers are totally disappeared from markets of lahore strict actions must be against those who are behind this artificial shortage on the otherside govtpunjabpk ensure the availability in open market on controlled prices dclahore govtpunjabpk coronavirus,2020-03-20
12793,"Miami, Florida",Mar,Just left the supermarket It was such a gut wrenching experience I saw senior citizens frantically searching for some food There was one couple arguing and the husband was saying give up we can t keep going to different stores and risk being exposed  ,United States,just left the supermarket it was such a gut wrenching experience i saw senior citizens frantically searching for some food there was one couple arguing and the husband was saying give up we can t keep going to different stores and risk being exposed  ,2020-03-21
3522,"London ,UK",Mar,It s critical 2 support local foodbanks But also campaign urge the govt 2 guarantee foodbanks will have stock and giving people extra money so they can buy their own food We can t be chasing food like this it should be there ready for distribution UK,United Kingdom,it s critical   support local foodbanks but also campaign urge the govt   guarantee foodbanks will have stock and giving people extra money so they can buy their own food we can t be chasing food like this it should be there ready for distribution uk,2020-03-18
16971,"Thüringen, Deutschland",Mar,Shoppers form long queues outside supermarket amid restrictions,Deutschland,shoppers form long queues outside supermarket amid restrictions,2020-03-23
2699,"Victoria, BC, Canada",Mar,"Hey @JustinTrudeau @adriandix etc  ... I'm not one but if grocery store workers are essential services and need to be there, why are they not protected and compensated for their risk?

Near min wage, no protection = essential?

They're about to get very sick for us.

#COVID2019",Canada,hey justintrudeau adriandix etc   im not one but if grocery store workers are essential services and need to be there why are they not protected and compensated for their risknear min wage no protection  essentialtheyre about to get very sick for  ,2020-03-18
18094,"Voorhees, NJ",Mar,"A new jobs portal was launched today featuring thousands of critical jobs to combating #coronavirus, including grocery store workers, manufacturing, warehouse work, delivery services, and more. More information is available here - https://t.co/H6qsEXq0zz",United States,a new jobs portal was launched today featuring thousands of critical jobs to combating coronavirus including grocery store workers manufacturing warehouse work delivery services and more more information is available here  ,2020-03-23
